School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Chaminade College Prep,2.87,3.52,6.39,3,4,1
Francis Howell,2.97,3.38,6.35,2,5,2
Christian Brothers College,2.59,3.64,6.24,5,3,3
De Smet Jesuit,2.53,3.67,6.2,7,2,4
Priory,2.83,3.09,5.92,4,7,5
Rockwood Summit,2.42,3.18,5.6,9,6,6
Marquette,2.48,3.01,5.49,8,8,7
Holt,2.55,2.84,5.39,6,10,8
Vianney,1.54,3.78,5.32,28,1,9
Lee's Summit,2.33,2.7,5.03,11,13,10
Lindbergh,2.11,2.81,4.92,15,11,11
Rock Bridge,2.07,2.69,4.75,16,15,12
Clayton,2.24,2.49,4.73,12,18,13
Rockhurst,1.75,2.98,4.73,25,9,14
Ft. Zumwalt South,2.36,2.34,4.7,10,26,15
St. Dominic,1.9,2.78,4.68,20,12,16
Ladue Horton Watkins,1.98,2.65,4.62,18,17,17
Parkway South,2.2,2.38,4.58,13,23,18
Ft. Zumwalt West,2.19,2.27,4.46,14,29,19
Farmington,2.98,1.38,4.36,1,51,20
Francis Howell Central,1.97,2.37,4.34,19,24,21
John Burroughs,1.85,2.46,4.31,21,20,22
Lee's Summit West,1.57,2.68,4.25,27,16,23
Oakville,2.05,2.18,4.23,17,32,24
Parkway West,1.2,2.7,3.9,46,14,25
Webster Groves,1.36,2.43,3.79,41,22,26
MICDS,1.4,2.37,3.76,38,25,27
Parkway Central,1.8,1.93,3.73,23,38,28
St. Charles West,1.73,1.99,3.72,26,37,29
Ozark,1.47,2.18,3.66,33,31,30
Westminster Christian Academy,1.21,2.44,3.65,45,21,31
Mehlville,1.5,2.12,3.63,30,34,32
Jackson,1.47,2.06,3.53,34,36,33
Liberty (Wentzville),1.37,2.13,3.5,40,33,34
SLUH,1.16,2.3,3.46,48,27,35
Lafayette (Wildwood),0.98,2.47,3.45,58,19,36
Eureka,1.11,2.28,3.39,52,28,37
Lee's Summit North,1.39,1.85,3.24,39,39,38
Park Hill South,1.49,1.7,3.19,32,44,39
Pattonville,1.45,1.7,3.15,36,43,40
Notre Dame (Cape Girardeau),0.85,2.19,3.04,62,30,41
Springfield Catholic,1.41,1.57,2.98,37,49,42
Blue Springs South,1.81,1.15,2.97,22,59,43
Van Horn,1.77,1.11,2.87,24,61,44
Bayless,0.95,1.75,2.7,59,41,45
Kirkwood,0.78,1.81,2.6,65,40,46
Nixa,1.52,1.06,2.57,29,62,47
Timberland,0.79,1.7,2.49,64,42,48
Glendale,1.14,1.34,2.49,49,53,49
Francis Howell North,0.36,2.11,2.47,84,35,50
Northwest (Cedar Hill),1.47,0.8,2.27,35,79,51
Park Hill,0.59,1.66,2.25,75,45,52
Pembroke Hill,0.59,1.62,2.21,74,47,53
Rolla,1.26,0.92,2.18,43,70,54
Helias Catholic,1.17,0.94,2.1,47,68,55
Perryville,0.79,1.23,2.03,63,55,56
Raymore-Peculiar,0.4,1.62,2.02,82,48,57
Guadalupe Centers Charter,0.89,1.05,1.94,61,63,58
Monett,0.75,1.17,1.92,66,58,59
Carthage,0.26,1.66,1.92,85,46,60
Hazelwood West,0.56,1.23,1.79,77,56,61
St. Pius X (Festus),0.73,1.03,1.76,68,66,62
Liberty North,0.91,0.85,1.76,60,75,63
Lutheran South,0.69,1.05,1.74,69,64,64
Ft. Zumwalt North,1.14,0.56,1.7,51,87,65
Kickapoo,1.14,0.5,1.65,50,89,66
Harrisonville,1.11,0.52,1.63,53,88,67
St. Francis Borgia,0.66,0.96,1.62,71,67,68
Southern Boone,0.73,0.83,1.57,67,76,69
North Kansas City,-0.03,1.45,1.42,97,50,70
Principia,1.29,0.08,1.37,42,106,71
Republic,0.17,1.2,1.37,90,57,72
Jefferson City,0.01,1.36,1.37,95,52,73
