School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Chaminade College Prep,2.87,3.52,6.39,2,4,1
Francis Howell,2.97,3.38,6.35,1,5,2
Christian Brothers College,2.59,3.64,6.24,3,3,3
De Smet Jesuit,2.53,3.67,6.2,5,2,4
Marquette,2.48,3.01,5.49,6,6,5
Holt,2.55,2.84,5.39,4,8,6
Vianney,1.54,3.78,5.32,17,1,7
Lee's Summit,2.33,2.7,5.03,7,10,8
Lindbergh,2.11,2.81,4.92,10,9,9
Rock Bridge,2.07,2.69,4.75,11,11,10
Rockhurst,1.75,2.98,4.73,15,7,11
Parkway South,2.2,2.38,4.58,8,14,12
Ft. Zumwalt West,2.19,2.27,4.46,9,18,13
Francis Howell Central,1.97,2.37,4.34,13,15,14
Lee's Summit West,1.57,2.68,4.25,16,12,15
Oakville,2.05,2.18,4.23,12,20,16
Ozark,1.47,2.18,3.66,21,19,17
Mehlville,1.5,2.12,3.63,19,21,18
Jackson,1.47,2.06,3.53,22,23,19
SLUH,1.16,2.3,3.46,27,16,20
Lafayette (Wildwood),0.98,2.47,3.45,31,13,21
Eureka,1.11,2.28,3.39,30,17,22
Lee's Summit North,1.39,1.85,3.24,25,24,23
Park Hill South,1.49,1.7,3.19,20,28,24
Pattonville,1.45,1.7,3.15,24,27,25
Blue Springs South,1.81,1.15,2.97,14,36,26
Kirkwood,0.78,1.81,2.6,34,25,27
Nixa,1.52,1.06,2.57,18,38,28
Timberland,0.79,1.7,2.49,33,26,29
Francis Howell North,0.36,2.11,2.47,40,22,30
Northwest (Cedar Hill),1.47,0.8,2.27,23,42,31
Park Hill,0.59,1.66,2.25,35,29,32
Raymore-Peculiar,0.4,1.62,2.02,38,31,33
Carthage,0.26,1.66,1.92,41,30,34
Hazelwood West,0.56,1.23,1.79,37,34,35
Liberty North,0.91,0.85,1.76,32,41,36
Ft. Zumwalt North,1.14,0.56,1.7,29,44,37
Kickapoo,1.14,0.5,1.65,28,45,38
North Kansas City,-0.03,1.45,1.42,46,32,39
Republic,0.17,1.2,1.37,43,35,40
Jefferson City,0.01,1.36,1.37,44,33,41
Troy Buchanan,0.56,0.63,1.19,36,43,42
Branson,1.23,-0.06,1.18,26,53,43
Liberty,-0.05,1.13,1.07,49,37,44
Hickman,-0.07,0.88,0.81,50,39,45
Central (St. Joseph),-0.5,0.87,0.37,55,40,46
Staley,0.38,-0.09,0.29,39,55,47
Belton,0.17,0.05,0.23,42,52,48
Blue Springs,-0.04,0.21,0.18,47,48,49
Seckman,-0.26,0.25,-0.01,52,47,50
Oak Park,-0.52,0.31,-0.21,56,46,51
Central (Springfield),0.0,-0.38,-0.38,45,56,52
William Chrisman,-0.04,-0.48,-0.52,48,57,53
Ritenour,-0.48,-0.07,-0.55,54,54,54
Fox,-0.72,0.13,-0.59,57,50,55
Battle,-0.99,0.16,-0.82,59,49,56
Joplin,-0.27,-0.75,-1.02,53,58,57
Raytown,-1.28,0.1,-1.18,60,51,58
Fort Osage,-0.16,-1.08,-1.24,51,60,59
Poplar Bluff,-0.94,-0.76,-1.7,58,59,60
Hazelwood Central,-1.79,-1.15,-2.93,61,61,61
McCluer North,-2.92,-2.01,-4.93,63,62,62
Waynesville,-2.64,-3.42,-6.06,62,63,63
