Date,Home Team,Home Score,Away Team,Away Score
2018-08-24,Aurora,1,Bolivar,0
2018-08-24,Winfield,3,Canton,4
2018-08-24,Lebanon,9,Dixon,2
2018-08-24,Lebanon,2,Fair Grove,3
2018-08-24,Hillsboro,1,Festus,0
2018-08-24,Ritenour,0,Ft. Zumwalt East,1
2018-08-24,Parkway North,4,Hazelwood Central,2
2018-08-24,Pattonville,1,Lafayette (Wildwood),0
2018-08-24,Parkway South,2,Marquette,3
2018-08-24,Holt,3,Mehlville,0
2018-08-24,West Plains,5,Osage,0
2018-08-24,Rockhurst,0,Park Hill South,1
2018-08-24,Timberland,2,Rockwood Summit,5
2018-08-24,Veritas Christian Academy,0,St. Charles West,8
2018-08-24,Father Tolton,3,St. Pius X (Kansas City),2
2018-08-24,West Plains,2,Webb City,1
2018-08-24,Northwest (Cedar Hill),6,Union,1
2018-08-24,Ft. Zumwalt South,5,Washington,1
2018-08-24,Republic,2,Waynesville,0
2018-08-25,Fulton,0,Battle,5
2018-08-25,Westminster Christian Academy,2,Bayless,0
2018-08-25,Valley Park,4,Bishop DuBourg,5
2018-08-25,North Kansas City,3,Blue Springs,1
2018-08-25,St. Charles,3,Blue Springs South,2
2018-08-25,SLUH,1,Chaminade College Prep,5
2018-08-25,Jefferson City,0,Christian Brothers College,5
2018-08-25,Fair Grove,5,Dixon,1
2018-08-25,Troy Buchanan,1,Fox,2
2018-08-25,Hazelwood West,0,Francis Howell,5
2018-08-25,Warrenton,2,Ft. Zumwalt North,4
2018-08-25,Duchesne,0,Ft. Zumwalt South,3
2018-08-25,Parkway North,0,Ft. Zumwalt West,10
2018-08-25,Frontier STEM,0,Grain Valley,7
2018-08-25,Liberty North,4,Harrisonville,2
2018-08-25,Kickapoo,0,Hickman,1
2018-08-25,Nixa,1,Hickman,2
2018-08-25,Poplar Bluff,0,Jefferson City,4
2018-08-25,Lutheran North,0,John Burroughs,10
2018-08-25,Priory,2,Lutheran South,1
2018-08-25,Missouri Military Academy,6,Lutheran St. Charles,1
2018-08-25,St. Pius X (Festus),3,Maplewood-Richmond Hts.,0
2018-08-25,Principia,0,MICDS,3
2018-08-25,Branson,3,Monett,5
2018-08-25,Savannah,3,Oak Grove,1
2018-08-25,Willard,2,Oak Grove,1
2018-08-25,Webb City,0,Osage,0
2018-08-25,Dixon,2,Osage,10
2018-08-25,Farmington,3,Parkway West,2
2018-08-25,St. Michael the Archangel,0,Raytown South,5
2018-08-25,Nixa,0,Rock Bridge,1
2018-08-25,Kickapoo,2,Rock Bridge,6
2018-08-25,Pembroke Hill,0,Rockhurst,2
2018-08-25,Knob Noster,1,Sacred Heart,5
2018-08-25,Central (Cape Girardeau),3,Sikeston,0
2018-08-25,Willard,1,Savannah,1
